Unnamed: 0,Structure,σ(RT)(S cm-1),Ea (eV),space group,ICSD Entry,DOI
621,Li6.05Ga0.25La3Zr2O11.8F0.2,1.28E-03,0.28,230.0,,10.1021/acsami.8b17656
622,Li5.72Al0.26La3Zr1.5W0.25O12,4.90E-04,0.35,230.0,,10.1021/acs.chemmater.5b02429
623,Li6.8La3Zr1.9Mo0.1O12,8.00E-05,0.46,230.0,,10.1021/acs.inorgchem.5b01895
624,Li6.6La3Zr1.8Mo0.2O12,3.11E-04,0.48,230.0,,10.1021/acs.inorgchem.5b01895
625,Li6.4La3Zr1.7Mo0.3O12,3.69E-04,0.49,230.0,,10.1021/acs.inorgchem.5b01895
626,Li6.2La3Zr1.6Mo0.4O12,3.40E-04,0.48,230.0,,10.1021/acs.inorgchem.5b01895
627,Li6.5La3Zr1.75Mo0.25O12,3.33E-04,0.39,230.0,239128.0,10.1021/acs.inorgchem.5b01895
628,Li6.75La3Zr1.875Te0.125O12,3.30E-04,0.41,230.0,,10.1016/j.jpowsour.2013.03.166
629,Li6.5La3Zr1.75Te0.25O12,1.02E-03,0.38,230.0,,10.1016/j.jpowsour.2013.03.166
630,Li6.375La3Zr1.375Nb0.625O12,1.37E-03,0.25,230.0,,10.1039/c8ta02276c
631,Li5La3Ta2O12,1.20E-06,0.56,230.0,154400.0,10.1111/j.1151-2916.2003.tb03318.x
632,Li5La3Nb2O12,1.00E-05,0.43,230.0,171171.0,
633,Li5La3Bi2O12,4.00E-05,0.47,230.0,158372.0,10.1016/j.mseb.2007.07.009
634,Li6La2SrBi2O12,5.20E-05,0.43,230.0,158373.0,10.1016/j.mseb.2007.07.009
635,Li5Nd3Sb2O12,1.30E-07,0.67,230.0,159426.0,
636,Li4Nd3TeSbO12,1.96E-06,0.64,230.0,159732.0,10.1021/cm703677q
637,Li5La3Sb2O12,8.20E-06,0.51,230.0,161342.0,
638,Li6SrLa2Sb2O12,6.60E-06,0.54,230.0,161343.0,10.1016/j.materresbull.2007.10.035
639,Li6(La2Ca)(NbO6)2,1.33E-06,,230.0,161386.0,10.1016/j.ssi.2008.01.047
640,Li6(La2Sr)(NbO6)2,3.69E-06,,230.0,161387.0,10.1016/j.ssi.2008.01.047
641,Li6CaLa2Ta2O12,2.20E-06,0.5,230.0,163860.0,10.1016/j.ssi.2008.10.022; 10.1021/am4060194
642,Li6BaLa2Ta2O12,1.30E-05,0.44,230.0,163861.0,10.1016/j.ssi.2008.10.022
643,Li6.15La3Zr1.75Ta0.25Ga0.2O12,4.10E-04,0.27,230.0,,10.1016/j.jpowsour.2012.01.131
644,Li6.15La3Zr1.75Ta0.25Al0.2O12,3.70E-04,0.3,230.0,,10.1016/j.jpowsour.2012.01.131
645,Li6.75La3Zr1.75Ta0.25O12,8.70E-04,0.22,230.0,183873.0,10.1016/j.jpowsour.2012.01.131
646,Li6.16Al0.28La3Zr2O12,6.10E-04,0.34,230.0,185539.0,
647,Li7La3Zr2O12,1.97E-06,0.49,230.0,,10.1039/c1cp22108f
648,Li7La3Zr2O12-0.5wt% Al,1.58E-04,,230.0,,10.1039/c1cp22108f
649,Li7La3Zr2O12-0.9wt% Al,3.20E-04,0.34,230.0,,
650,Li6.06Al0.2La3Zr2O12,4.00E-04,0.34,230.0,185539.0,
651,Li6BaLa2Ta2O12,2.45E-05,0.4,230.0,185602.0,10.1016/j.materresbull.2012.04.032
652,Nd3Zr2Al0.5Li5.5O12,3.90E-05,0.56,230.0,189530.0,10.1039/c3ta13252h
653,(Li6.26Al0.24)La3Zr2O12,3.10E-04,0.33,230.0,195182.0,
654,Li6La3Nb1.5Y0.5O12,1.88E-04,,230.0,237141.0,
655,Li5.2La3Nb1.9Y0.1O12,6.39E-05,,230.0,237143.0,10.1021/jp304737x
